word,url,width,height
sketched,http://media0.giphy.com/media/UVHOn3gnwq7Bu/200_d.gif,300,147
following,http://media0.giphy.com/media/anURybroTrHz2/200_d.gif,500,281
published,http://media0.giphy.com/media/M0I77gB967pq8/200_d.gif,245,152
english,http://media0.giphy.com/media/CtpGbb7utn61i/200_d.gif,192,144
italian,http://media0.giphy.com/media/k37VXqbF3FNjq/200_d.gif,328,180
flemish,http://media0.giphy.com/media/Te6yqrUrJxhQY/200_d.gif,500,670
danish,http://media0.giphy.com/media/o75no0njthb4Q/200_d.gif,444,250
languages,http://media0.giphy.com/media/6eA9Zh42MyhTW/200_d.gif,391,282
bourgeois,http://media0.giphy.com/media/v6MYBEjErQe40/200_d.gif,245,334
proletarians,none,,
[1],http://media0.giphy.com/media/EgpGbVKp3K956/200_d.gif,500,281
history,http://media0.giphy.com/media/Te6yqrUrJxhQY/200_d.gif,500,670
hitherto,none,,
existing,http://media0.giphy.com/media/z8ok7ppKsQKpq/200_d.gif,320,240
society,http://media0.giphy.com/media/OpBtAKGVsDJPa/200_d.gif,420,350
[2],http://media0.giphy.com/media/EgpGbVKp3K956/200_d.gif,500,281
class,http://media0.giphy.com/media/o8KxrbAvNVW0M/200_d.gif,250,197
struggles,http://media0.giphy.com/media/gpwSbwpGN5sDS/200_d.gif,260,146
freeman,http://media0.giphy.com/media/HGz0dL1cvTZHG/200_d.gif,476,705
slave,http://media0.giphy.com/media/loUivFyEJk3bq/200_d.gif,350,272
patrician,none,,
plebian,none,,
lord,http://media0.giphy.com/media/lFNp7pOTuUavm/200_d.gif,370,370
serf,http://media0.giphy.com/media/A8yWuVpDfatJC/200_d.gif,500,250
guild-master,none,,
[3],http://media0.giphy.com/media/AZ8s9j87oQVvq/200_d.gif,400,225
journeyman,http://media0.giphy.com/media/UlguklyFYGHkI/200_d.gif,500,500
word,http://media0.giphy.com/media/91iaMH4lsjlDO/200_d.gif,320,240
oppressor,http://media3.giphy.com/media/D3waNGeNeBlPW/200_d.gif,900,776
oppressed,http://media1.giphy.com/media/z8ueKUUq1S23u/200_d.gif,245,157
stood,http://media0.giphy.com/media/5yto1G9KwIYow/200_d.gif,250,195
constant,http://media0.giphy.com/media/ZyPGY5gSycMYU/200_d.gif,344,328
one,http://media0.giphy.com/media/N46qE5xwDbJeg/200_d.gif,400,225
another,http://media2.giphy.com/media/12L2pbbtcTxKYo/200_d.gif,500,180
carried,http://media0.giphy.com/media/zJzMKU4dGlNEQ/200_d.gif,280,373
on,http://media0.giphy.com/media/Rl913d2TO2DC0/200_d.gif,344,236
uninterrupted,http://media0.giphy.com/media/sgDewYSaCg0g0/200_d.gif,245,145
now,http://media0.giphy.com/media/pbLsYOls6SygE/200_d.gif,433,386
hidden,http://media0.giphy.com/media/11Hid00JjX2ql2/200_d.gif,310,233
open,http://media0.giphy.com/media/nFwbEM2IinJ7O/200_d.gif,245,245
